,pvalue,zscore
CDK1,0.000308399758657,-3.60814026107
CDK2,0.0896665093827,-1.69715950164
CAMK2D,0.0954844384064,-1.66715072251
RPS6KA3,0.126832567983,-1.52671229803
NLK,0.197075405211,-1.28992872795
PRKCE,0.197075405211,-1.28992872795
ALK,0.197075405211,-1.28992872795
MAP3K1,0.197075405211,-1.28992872795
IRAK1,0.197075405211,-1.28992872795
HIPK2,0.236263517945,-1.18437786598
CDK7,0.250252455917,-1.14973640343
MAP3K8,0.26279166209,-1.11981721419
RAF1,0.26630715624,-1.11160701223
MAPKAPK2,0.290221880703,-1.05763499723
RPS6KA5,0.312212207162,-1.01059103757
PLK1,0.33392972507,-0.966228759222
PPM1A,0.357869430333,-0.919432435472
CDK20,0.374690080044,-0.887722425253
PPM1B,0.374690080044,-0.887722425253
CDKN3,0.374690080044,-0.887722425253
DYRK1B,0.395006779056,-0.850572665457
GSK3B,0.401492758769,-0.838958213671
DDR1,0.402878253165,-0.83649186179
RPS6KA4,0.405217420161,-0.832339359317
CDK9,0.439627178797,-0.772822933812
MAPK8,0.441129623328,-0.770287072135
MAPK3,0.465803561687,-0.72932389063
RPS6KA1,0.633582835174,-0.47669006965
GSK3A,0.648042695555,-0.456482996084
MAPK13,0.64888485124,-0.45531192093
MAPK11,0.64888485124,-0.45531192093
MAP2K2,0.64888485124,-0.45531192093
MAP2K1,0.64888485124,-0.45531192093
PTP4A3,0.64888485124,-0.45531192093
RPS6KA2,0.66479528006,-0.433302144955
PRKAA2,0.67493943544,-0.419378635472
PPP1CC,0.680155843282,-0.412250476528
PPP1CA,0.680155843282,-0.412250476528
MTOR,0.689311111044,-0.399790116331
DKFZp686L02273,0.707136905986,-0.375704077799
ROCK1,0.707817997693,-0.374788190634
PRKDC,0.707817997693,-0.374788190634
MAPK10,0.738133825543,-0.334325665195
MAPK1,0.767201914272,-0.296036883353
PAK4,0.792201541619,-0.263452874386
PRKCZ,0.795425150811,-0.259272299244
PRKCA,0.798001864875,-0.255933916653
AKT1,0.80149195997,-0.25141669687
PPP2CB,0.815341700647,-0.233540530598
PPP2CA,0.815341700647,-0.233540530598
TAF1,0.816944467633,-0.23147672191
CHEK2,0.82554541682,-0.220418271362
PPP3CC,0.831744206249,-0.212465095045
PPP3CB,0.831744206249,-0.212465095045
PPP3CA,0.831744206249,-0.212465095045
CDK12,0.837554401995,-0.205022684256
CSNK1D,0.854606814013,-0.183243691295
AURKB,0.858227977849,-0.178630329702
RPS6KB2,0.861761062975,-0.1741328424
DYRK2,0.892052034401,-0.135708112258
PPP1CB,0.89619820168,-0.130465431921
ATM,0.912685782727,-0.109651478626
CDK5,0.922690372266,-0.0970453601073
MAPK9,0.959424039901,0.0508763640096
AURKA,0.942380772466,0.0722778741999
PKN1,0.942380772466,0.0722778741999
CDK6,0.933038274978,0.0840228366118
CLK1,0.909654106759,0.113474842824
CSNK2A2,0.902392720824,0.122639314657
MAPKAPK3,0.833470239735,0.21025296945
LCK,0.8241058486,0.222267245597
GRK6,0.81982630549,0.227768385425
PAK2,0.81982630549,0.227768385425
CDK3,0.818248931348,0.229797752361
CDK8,0.772161452701,0.28954878513
GRK2,0.771528765259,0.29037578701
PAK1,0.749420735216,0.319403265086
PAK5,0.744871221321,0.325409427533
CHEK1,0.711264832026,0.370157914832
CDK4,0.675651142483,0.418404848172
MAPK12,0.661195524924,0.438263164485
PRKCH,0.647419002311,0.457350687837
FYN,0.638817701181,0.46935249097
PTPRJ,0.609899963675,0.510216257476
PTPRK,0.609899963675,0.510216257476
PRKG1,0.580662500163,0.552417271302
VRK1,0.550874279825,0.596450549281
ATR,0.526370503724,0.633556183531
STK3,0.439641038007,0.772799519208
ABL1,0.427255383403,0.793897022181
SGK1,0.401882791925,0.838263390664
MARK2,0.380725586755,0.876560159651
MAPK15,0.372643487451,0.891532642905
PRKD1,0.372643487451,0.891532642905
HRAS,0.372643487451,0.891532642905
PPP2R5A,0.370459572109,0.895612846597
PPP5C,0.370459572109,0.895612846597
SRC,0.335279878326,0.963533465293
CSNK2A1,0.313926322473,1.0070175876
PIM1,0.29985436877,1.03674574061
CDC14B,0.29985436877,1.03674574061
RPS6KB1,0.295131300142,1.04693122304
NUAK1,0.27715747754,1.08672700071
PDPK1,0.259446997643,1.12769914792
PRKACA,0.219085807724,1.22896265616
LATS2,0.198141199075,1.28686542252
LATS1,0.198141199075,1.28686542252
PRKCD,0.197353556931,1.28912809723
MAPK14,0.188125699687,1.31614404636
PRKCB,0.182053449768,1.33445907746
PRKCG,0.182053449768,1.33445907746
PRKAA1,0.157738378222,1.41271894736
CHUK,0.135317307002,1.49345812784
PDPK2P,0.0765963174485,1.77078586439
SYN2,0.0765963174485,1.77078586439
PDP2,0.0765963174485,1.77078586439
PDK1,0.0765963174485,1.77078586439
PDK2,0.0765963174485,1.77078586439
PDK3,0.0765963174485,1.77078586439
PDK4,0.0765963174485,1.77078586439
PDP1,0.0765963174485,1.77078586439
PRKCI,0.0567697553887,1.90507936424
CAMK2G,0.0547144226044,1.92113712267
STK38,0.049919226956,1.96065546971
SGK3,0.0470509224565,1.98584153271
CAMK2A,0.0438887019554,2.01515222131
MARK1,0.0344291295728,2.11500959465
PLK3,0.00348509569332,2.92135758518
PLK2,0.00119940637115,3.23902124972
